|6.6.6
antigorite_1.tab                                                                                    
           1
T(K)    
   0.0000000000000000     
   0.0000000000000000     
          16
           7
T(K)           P(bar)         rho,kg/m3      rho,kg/m3      SIO2,wt%       MGO,wt%        fo,vo%        
  923.150        10880.4        3033.07        981.897        50.4470        47.7735        59.6064     
  923.150        10890.4        3033.11        982.129        50.4470        47.7735        59.6067     
  923.150        10900.5        3033.15        982.359        50.4470        47.7735        59.6070     
  923.150        10910.5        3033.19        982.590        50.4470        47.7735        59.6073     
  923.150        10920.5        3033.24        982.820        50.4470        47.7735        59.6076     
  923.150        10930.5        3033.28        983.051        50.4470        47.7735        59.6079     
  923.150        10940.5        3033.32        983.281        50.4470        47.7735        59.6082     
  923.150        10950.5        3033.36        983.511        50.4470        47.7735        59.6085     
  923.150        10960.5        3033.40        983.740        50.4470        47.7735        59.6088     
  923.150        10970.5        3033.44        983.970        50.4470        47.7735        59.6091     
  923.150        10980.5        3033.48        984.199        50.4470        47.7735        59.6094     
  923.150        10990.5        3033.52        984.428        50.4470        47.7735        59.6097     
  923.150        11000.5        3033.56        984.657        50.4470        47.7735        59.6100     
  923.150        11010.5        3033.60        984.885        50.4470        47.7735        59.6103     
  923.150        11020.5        3033.64        985.114        50.4470        47.7735        59.6106     
  923.150        11030.5        3033.69        985.342        50.4470        47.7735        59.6109     
  923.150        11040.5        3033.73        985.570        50.4470        47.7735        59.6112     
  923.150        11050.5        3033.77        985.798        50.4470        47.7735        59.6115     
  923.150        11060.5        3033.81        986.025        50.4470        47.7735        59.6118     
  923.150        11070.5        3033.85        986.253        50.4470        47.7735        59.6121     
  923.150        11080.5        3033.89        986.480        50.4470        47.7735        59.6124     
  923.150        11090.5        3033.93        986.707        50.4470        47.7735        59.6126     
  923.150        11100.6        3033.97        986.934        50.4470        47.7735        59.6129     
  923.150        11110.6        3034.01        987.160        50.4470        47.7735        59.6132     
  923.150        11120.6        3034.05        987.387        50.4470        47.7735        59.6135     
  923.150        11130.6        3034.10        987.613        50.4470        47.7735        59.6138     
  923.150        11140.6        3034.14        987.839        50.4470        47.7735        59.6141     
  923.150        11150.6        3034.18        988.065        50.4470        47.7735        59.6144     
  923.150        11160.6        3034.22        988.291        50.4470        47.7735        59.6147     
